model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
loo_AR2,0,0,-67009.89,235.62
loo_AR1sigma1,-30.37,12.85,-67040.26,235.66
loo_AR1,-32.37,12.86,-67042.26,235.77
loo_LMM0,-1301.95,129.51,-68311.83,202.99
loo_LMM,-1302.16,129.49,-68312.05,202.93
