Model,elpd_diff,se_diff,elpd_loo,se_elpd_loo
ARKMoGppt,0,0,-35332.35,99
MoGpptsbigramintercepts,-8.18,17.75,-35340.53,98.65
LMMbigramslopes,-57.82,34.93,-35390.17,87.86
LMMbigramintercepts,-276.97,24.14,-35609.32,96.99
ARK1ppt,-449.83,30.88,-35782.18,94.56
