worse_model,model1,model2,elpd_diff,se_diff,elpd_loo,se_elpd_loo
model1,MoGpptsbigramintercepts,MoGpptsbigraminterceptsdelta,0,0,-33178.25,112.76
model2,MoGpptsbigramintercepts,MoGpptsbigraminterceptsdelta,-0.97,0.47,-33179.22,112.75
model1,MoGpptsbigramintercepts,MoGpptsbigraminterceptsdelta2,0,0,-33178.25,112.76
model2,MoGpptsbigramintercepts,MoGpptsbigraminterceptsdelta2,-30.1,8.03,-33208.35,112.68
